title,price,rating,reviews,availability
Redmi 12 5G Moonstone Silver 4GB RAM 128GB ROM,"11,999",4.0 out of 5 stars,"15,177 ratings",In stock
"Redmi 13C 5G (Startrail Green, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","14,499",4.0 out of 5 stars,"2,537",In stock
"Redmi A2 (Aqua Blue, 2GB RAM, 64GB Storage)","5,299",3.9 out of 5 stars,"9,223 ratings",In stock
"POCO C55 (Cool Blue, 6GB RAM, 128GB Storage)","6,499",3.9 out of 5 stars,"1,321 ratings",In stock
"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","13,990",4.0 out of 5 stars,"20,308 ratings",In stock
"realme narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display","8,499",4.0 out of 5 stars,"15,086 ratings",In stock
"Vivo Y28 5G (Glitter Aqua, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","16,999",3.9 out of 5 stars,99,In stock
"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge","14,999",4.1 out of 5 stars,"15,660 ratings",In stock
"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,799",4.1 out of 5 stars,"2,576",In stock
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,799",4.1 out of 5 stars,"2,576",In stock
"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) | World's First SD 7020 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge","31,999",4.0 out of 5 stars,96 ratings,In stock
"realme NARZO 70 Pro 5G (Glass Green, 8GB RAM,256GB Storage) Dimensity 7050 5G Chipset | Horizon Glass Design | Segment 1st Flagship Sony IMX890 OIS Camera","21,999",4.0 out of 5 stars,152 ratings,In stock
"realme narzo 60 5G (Cosmic Black,8GB+128GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger","14,999",4.1 out of 5 stars,"7,269 ratings",In stock
"realme narzo 60X 5G (Nebula Purple 6GB,128GB Storage) Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","11,999",4.1 out of 5 stars,"9,873",In stock
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | Qualcomm Snapdragon 4 Gen 1 Processor | 120Hz FHD+ Display | Travel Adaptor Included in The Box","11,999",4.1 out of 5 stars,"22,098 ratings",In stock
Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 128GB Storage | 3-Day Battery Life | 2 Years of Android Upgrades | SO Pink,"9,999",3.9 out of 5 stars,"3,010 ratings",In stock
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)","19,999",4.2 out of 5 stars,"47,486",In stock
"Oppo A79 5G (Mystery Black, 8GB RAM, 128GB Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger | 50MP AI Rear Camera | 6.72"" FHD+ 90Hz Display | with No Cost EMI/Additional Exchange Offers","17,499",3.9 out of 5 stars,199,In stock
"Redmi 13C (Stardust Black, 4GB RAM, 128GB Storage) | Powered by 4G Mediatek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,799",4.1 out of 5 stars,"2,576 ratings",In stock
"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone","24,999",4.4 out of 5 stars,"10,128",In stock
"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers with DTS| 5000mAh Battery |10W Type-C| Side Fingerprint Sensor| Octa-Core Processor","6,799",4.1 out of 5 stars,951,In stock
"TECNO Spark 20C | Gravity Black, (16GB*+128GB) | 50MP Main Camera + 8MP Selfie | 90Hz Dot-in Display with Dynamic Port & Dual Speakers with DTS | 5000mAh Battery |18W Type-C | Helio G36 Processor","8,999",4.4 out of 5 stars,63 ratings,In stock
